Numero da Peca,Descricao,Quantidade,Localizacao
A  00018011090019,KIT DE PECAS REVISAO M,4,ESTRADO 2
A  0001802709,DIFUSOR ELEMENTO FILTRO DE OLEO-PLASTICO,1,07G08
A  00018029090098,FILTRO DE OLEO,1,12D04
A  0001806965,REFIL FILTRO DE OLEO,5,27C02
A  0001807809,JG .REP. ELEM. FILTRO OLEO LUBR.,1,23F16
A  0001808009,JG. PCS.ELEMENTO FILTRO DE OLEO LUBRIF.,1,17F06
A  0001808109,JG. PCS.ELEMENTO FILTRO DE OLEO LUBRIF.,2,29B05
A  0001808909,JOGO DE FILTROS DO MOTOR.,15,ESTRADO 6
A  0001809009,JOGO DE FILTROS DO MOTOR,5,ESTRADO 5
A  0001809109,JOGO DE FILTROS DO MOTOR,15,ESTRADO 4
A  0001849380,BUCHA DE BORRACHA,8,01A02
A  0001883380,JUNTA,2,05B10
A  0002011080,VEDACAO DO COLETOR DA BOMBA D'AGUA,6,19F13
A  00022005950012,KIT FILTROS PARA SISTEMA PARKER,15,ESTRADO 5
A  00022005950013,KIT FILTROS PARA SISTEMA MANN,3,ESTRADO 4
A  0002361780,VEDACAO PERFILADA,1,04A04
A  0002500900,EMBREAGEM SECA MONODISCO,1,14C01
A  0002501000,EMBREAGEM SECA MONODISCO,1,14D10
A  0002501562,LU ATUADOR DE EMBREAGEM PNEUMATICO,6,ESTRADO 4
A  00025015620097,CJ. ATUADOR DE EMBREAGEM,5,14B10
A  0002510583,TAMPAO DE BORRACHA,1,04C14
A  0002514764,CJ. TUBULACAO DE AR COMPRIMIDO,1,20F22
A  0002520046,ANEL DE DESENGATE,1,16A05
A  0002540017,CJ.ROLETE C/PINO ROLAMENTO DA EMBREAGEM,2,02D05
A  0002540335,ANEL TRAVA DO PINO ACIONADOR DA ALAVANCA,2,21B12
A  0002541247,LU REFORCO DA EMBREAGEM,1,28D08
A  0002541447,LU SERVO EMBREAGEM,1,22D15
A  0002601092,KIT MANUTENCAO POCKET G60,1,ESTRADO 5
A  0002601192,KIT MANUTENCAO POCKET G85,2,ESTRADO 5
A  0002628430,"ANEL PARTIDO 3,50    (MAT.ACO)",2,01E24
A  0002670197,VEDADOR DA HASTE 32X21X8MM,5,20B12
A  0002682566,TERMINAL ROSC. CABO TRAMBULACAO LADO,1,06G03
A  0002690444,JOGO DE REPARO DA VALVULA DE COMANDO,4,19G04
A  0002950313,CJ. TUBO DE EMBREAGEM( EM ACO),1,30
A  0002952815,RESERVATORIO  PLASTICO DE OLEO,1,SL
A  0003220244,BATENTE DE BORRACHA,2,24C05
A  0003223285,COXIM BORRACHA DA MOLA DO EIXO DIANTEIRO,1,04C04
A  0003235985,BUCHA DE BORRACHA C/INCERTO ME,2,03A10
A  00032362850064,BUCHA DA BARRA DE TORCAO,1,03F02
A  0003265681,COXIM DE BORRACHA,1,16D09
A  0003500054,JOGO DE PECAS PLANETARIAS - ACO,5,22H11
A  0003503605,JG.REPARO TERMINAL ARTIC. BARRA EM V-ACO,1,07E02
A  0003504205,JG.REPARO TERMINAL ARTIC. BARRA EM V-ACO,2,05B06
A  0003505205,KIT DE REPARO DO BRACO DE FIXACAO(COXIM),1,23G06
A  0003505505,BRACO DE FIXACAO COM APOIO EM TRES PONTO,1,03C01
A  0003505705,JG. PECAS TERMINAL BARRA EM V DA DIRECAO,1,22C14
A  0003506005,JG REPARO BRACO TENSOR,1,07B07
A  0003506205,JOGO REPARO BRACO TENSOR,1,04C05
A  0004010024,COBERTURA DA PORCA DE RODA,9,19D01
A  0004010672,PORCA DE RODA - ACO LIGA,103,02I12
A  0004011072,PORCA RODA EIXO TRAS.-ACO MEDIO CARBONO,1,09A06
A  0004012372,PORCA DE ACO DA RODA - CAMINHAO,1,15G06
A  0004013571,PRISIONEIRO RODA M22 X 115MM,109,15F32
A  0004013771,PRISIONEIRO RODA M22 X 110MM,9,06H13
A  0004016771,PRISIONEIRO RODA M18 X 75MM,1,01G10
A  0004101622,MANCAL ACO INTERMED. - EIXO TRANSMISSAO,3,22G14
A  0004231030,JOGO DE PECAS DO FREIO,4,28D09
A  0004293197,CJ ELEMENTO DO FILTRO,8,29A07
A  0004295695,ELEMENTO FILTRO SECADOR AR C/SEPARA.OLEO,8,29B02
A  00042957950097,FILTRO SECADOR DE AR - EURO 5,11,12E09
A  0004301070,ABAFADOR DE RUIDOS,1,05C06
A  0004301269,SEPARADOR DO OLEO,1,08A06
A  0004302970,SILENCIADOR DA VALVULA,1,04B01
A  0004303668,JOGO DE ANEIS DE VEDACAO,2,21F06
A  0004314831,CONEXAO DE PROVA,1,04H01
A  0004318831,CONEXAO DE VALVULA,1,06G11
A  0004604683,ELEMENTO DO FILTRO,10,04F12
A  00046089480097,TERMINAL DE DIRECAO - DIREITO,1,12C02
A  0004609048,TERMINAL ESFERICO ROSCA ESQUERDA,1,03I05
A  0004630765,BUCHA DO AMORTECEDOR     MT. METAL,3,19H09
A  0004642018,ESPIRAL DE CONTATO DO VOLANTE,1,22A14
A  0004661067,VARETA DE MEDICAO DE OLEO,1,03H06
A  0004668291,VALVULA COLUNA DE DIRECAO-ALUMINIO/PLAST,2,19C05
A  0004702190,LU PRE-FILTRO DE COMBUSTIVEL,3,22B16
A  0004702790,CJ FILTRO DE COMBUSTIVEL/SEPARADOR AGUA,1,27B04
A  0004707705,TAMPA DE PLASTICO TANQUE DE COMBUSTIVEL,1,20F13
A  0004707905,TAMPA DO TANQUE DE COMBUSTIVEL,2,19E06
A  0004708305,FECHO DO RESERV.DE COMBUSTIVEL DIESEL,6,21E04
A  0004711035,PENEIRA DA BOIA DE COMBUSTIVEL,1,16B19
A  0004770103,FILTRO DE COMBUSTIVEL,25,29A08
A  0004779915,KIT ELEMENTO FILTRANTE DE COMBUSTIVEL,23,29A02
A  00047799150097,ELEMENTO FILTRANTE DE COMBUSTIVEL,21,12B04
A  00050030490064,TANQUE DE COMPENSACAO,1,ESTRADO 5
A  00050030490097,TANQUE DE COMPENSACAO BOCAL LONGO,1,ESTRADO 4
A  0005003149,TANQUE DE COMPENSACAO,1,ESTRADO 5
A  00050031490064,TANQUE DE COMPENSACAO,1,ESTRADO 5
A  0005014215,TAMPA RESERVATORIO COMPEN. 2 ORELHAS ACO,2,20H17
A  0005016415,TAMPA DO RADIADOR   PLASTICO,2,21E02
A  00054041360064,SENSOR DE DESGASTE 20 MM,1,02H12
A  0005404615,CUPILHA TIPO GRAMPO,2,02H02
A  0005420873,PRESILHA DE ACO,1,03G02
A  0005429218,SENSOR DE DISTANCIA,1,16D11
A  0005435785,IMA,8,03E06
A  0005452839,ANEL DE VEDACAO AZUL,1,02A13
A  0005452939,SELO (1.5-2.5),29,16C06
A  0005454026,TERMINAL 1.0-2.5 REC,40,04C19
A  0005454044,ALAVANCA DE COMANDO,1,05E07
A  0005455508,INTERRUPTOR DA BATERIA,1,03D02
A  0005456280,JUNTA DE BORRACHA P/TERMINAL ELETRICO,1,01B03
A  0005501633,LU DESVIO P/ CORREIA - ACO,2,20A08
A  0005501833,POLIA DE ACO DO MOTOR,2,16B21
A  0005530621,MANCAL DA ALAVANCA DE MUDANCAS-PLASTICO,8,16D18
A  0005531251,ANEL DISTANCIADOR,1,23F14
A  0006802007,TAMPA DIREITA DA CAIXA DE AR - PLASTICO,1,30
A  0007601359,MACANETA DA PORTA,1,03H09
A  0007630147,GUIA DA PORTA DESLIZANTE,1,21A18
A  0008113607,JG.PECAS COBERTURA ESPELHO- PLASTICO/ACO,1,16C23
A  0008116007,COBERTURA,2,06B01
A  00082012770064,SUPORTE DAS LAMPADAS,1,04B08
A  0008201453,ACENDEDOR DE CIGARROS,1,06G12
A  0008210081,LU SENSOR DE TEMPERATURA/ PT1000,2,16D26
A  00082607140064,SUPORTE DE FIXACAO (SETA) ESQ,1,22C02
A  00083003630064,TUBO DO AQUECIMENTO DE ACO,1,05D11
A  00083012180098,FILTRO DE CABINE,14,11F01
A  0008302754,INJETOR DE AR A ESQUERDA,6,22D17
A  00083039310064,CABO DE ACO DESCONGELADOR,1,05E03
A  00083040310064,CABO DE ACO ESPACO DOS PES,1,16E15
A  00083041310065,CABO DE ACO VAVULA DE REGULAGEM,1,05D06
A  0008305618,FILTRO DE AR DA CAIXA DE AR,2,28A07
A  0008307218,ELEMENTO DO FILTRO MAT. PAPEL,1,ESTRADO 5
A  0008309096,CJ.PC MANGUEI.FLEXI.P/ BAIXAMEN.ASSENTO,3,19E03
A  0008309118,CJ. FILTRO DE PALHA,5,ESTRADO 6
A  0008309818,ELEMENTO DE PALHA DO FILTRO DO CLIMATI,2,ESTRADO 5
A  0008354800,FILTRO PARTICULAS FINAS,6,08D06
A  0008603247,CJ.BICO INJETOR AGUA ESQUERDO-PLASTICO,7,19H02
A  0008603347,CJ.BICO INJETOR AGUA DIREITO - PLASTICO,9,06H08
A  00086045470064,BICO INJETOR,1,07D09
A  0008607004,CINTO DE SEGURANCA,2,03H14
A  00090534030064,SENSOR DE NOX,1,02A03
A  0009100244,JG DE PECAS AMORTECEDOR HORIZONTAL,1,07A09
A  0009105174,CJ. CABO ACIONAM .REGUL. AMORTEC.,1,05E11
A  0009105671,BOTAO ACIONAMENTO REGULAGEM DE ALTURA,2,16D24
A  0009191470,CABO ACIONAMEN.REGUL.ALTU.BANCO MOTORIS.,1,17C03
A  0009815106,ROLAMENTO DE ESFERAS,2,16C17
A  0009820126,TERMINAL,14,16F09
A  0009822123,MINI RELE 24V COM RESISTENCIA,1,04G14
A  0009845929,PARAFUSO,1,02C12
A  0009849529,PARAFUSO - ACO LIGA,10,15C15
A  0009872320,ABRACADEIRA        (METAL),52,03A17
A  0009872420,ABRACADEIRA                 (METAL),63,03G07
A  0009874927,TUBO SINTETICO 8X1,9,18F14
A  0009875027,"TUBO SINTETICO 12X1,5",12,18E14
A  0009875127,TUBO SINTETICO 16X2,5,18G13
A  0009888425,BUCHA,3,18A10
A  00098902980097,KIT VISIBILIDADE,3,12A01
A  0009890401,OLEO P/MOTOR 15W40-MB 228.3(DBL 6610.30),1989,ESTRADO 1
A  0009890707,FLUIDO PARA FREIO DBL 7760.30,9,LUBRI
A  0009890807,FLUIDOS DO FREIO DBL 7760.40,40,LUBRI
A  0009890807,FLUIDOS DO FREIO DBL 7760.40,37,LUBRI
A  0009890925,MEIO ANTICONGELANTE / DBL 7700.20,120,LUBRI
A  0009892603,OLEO P/ BASCULAMENTO DA CABINA,41,LUBRI
A  0009892851,GRAXA PARA ROLAMENTO-DBL680450,10,LUBRI
A  0009893503,OLEO P/CAMBIO A 80W-MB 235.1-DBL 6634.00,73,LUBRI
A  0009897807,OLEO MOTOR RETARDER CLASSE B,193,LUBRI
A  0009899104,OLEO SINTETICO P/MOTOR 5W30 MB22951,102,LUBRI
A  0009899701,OLEO SINTETICO P MOTOR 5W30 MB,7,LUBRI
A  0009902850,PORCA,56,15H19
A  0009902852,PORCA - ACO LIGA,8,06I04
A  0009903492,REBITE DE EXPANSAO,20,20A06
A  0009906404,PARAF DE SEGURANCA M10X18,7,15D13
A  0009906904,"PARAFUSO M16X1,5X50 - ACO LIGA",1,15F29
A  0009911295,FIXADOR DE ENCAIXE,9,16B26
A  0009941742,TRAVA DO BOTAO GIRATORIO,10,16B14
A  0009959006,JG. DE PRESILHAS DE CABOS,26,05D03
A  0009959935,BRACADEIRA SIMPLES,10,02A12
A  0009970207,VALVULA DE RETENCAO,6,02D07
A  0009973074,CONEXAO T,2,23C19
A  0009973312,VALV.MAGNETICA 3/2 VIAS CONTROLE FLUXO,2,23C14
A  0009973512,VALV.MAGNETICA 3/2 VIAS CONTROLE FLUXO,1,04G18
A  0009973612,VALV.MAGNETICA 3/2 VIAS CONTROLE FLUXO,3,16I03
A  0009975034,PARAFUSO SOBREPOSTO M10X1-LIGAS DE COBRE,22,04A17
A  0009975334,PARAFUSO DE CAPA,21,01A04
A  0009975820,TAMPA  - ACO,1,03A15
A  0009976232,BUJAO ROSCADO,1,16E09
A  0009977070,TUBO CURTO,4,02C11
A  0009978134,"CONEXAO M22 X 1,5MM",22,01A09
A  00099805000064,TAMPA DE PROTECAO,1,16B16
A  0009981043,TAMPAO DE BORRACHA,4,01A05
A  0009985821,CAPA DE COBERTURA,1,20B13
A  0010944603,CJ.FUNDO COMPLETO(TAMPA DO FILTRO)PLAST.,1,ESTRADO 4
A  0011307915,JG REPARO COM CABECOTE COMPRESSOR DE AR,4,05B05
A  0011598001,VELA PINO INCANDESCENTE,3,02C07
A  0011801309,JOGO DE FILTROS DO MOTOR,3,ESTRADO 6
A  0012620262,ARRUELA DE ENCOSTO,1,06D08
A  0013309935,CJ ARTICULACAO ESFERICA,1,16C07
A  0013505939,CJ COROA E PINHAO 43:12,1,ESTRADO 5
A  0014304315,SECADOR DE AR COMPRIMIDO,1,22D12
A  00146036480097,CJ. ARTICULACAO,1,11D11
A  00146063480097,TERMINAL DE DIRECAO - DIREITO,1,12A07
A  00146064480097,TERMINAL DE DIRECAO - ESQUERDO,1,12D07
A  0014770015,ELEMENTO DO FILTRO DO COMBUSTIVEL,31,29C01
A  0015425617,PRESSOST.SENSOR,2,04E14
A  0015427818,CJ SENSOR DE ROTACOES,1,18A04
A  0015428718,CJ SENSOR DE ROTACOES,1,17A09
A  0015428818,CJ SENSOR ROTACOES ESQ,2,02C01
A  0015460135,CAPA DO CONECTOR CHICOTE 24V-PLASTICO,1,04F04
A  0018117814,SUPORTE DO ESPELHO RETROVISOR DIREITO,1,ESTRADO 5
A  0018204645,JOGO DE PECAS DA PALHETA,6,17B03
A  0018206945,PALHETA DO LIMPADOR - PAR,6,06B10
A  0018207245,TS PALHETA DO LIMPADOR,2,17C08
A  0018207501,LANTERNA COMPLETA DE ILUMINACAO ESTRIBO,1,04E01
A  00182169600064,RESISTENCIA DO SISTEMA DE VENTILACAO,12,05B07
A  0018228920,LANTERNA INDIC. DIRECAO,2,21C15
A  0018229020,LANTERNA INDIC. DIRECAO,1,04A14
A  0018303872,SONDA TERMICA DO EVAPORADOR AR CONDIC.,2,16D30
A  0018308458,EVAPORADOR,1,27D07
A  0019816405,ROLAMENTO CONICO 150 MM,3,ESTRADO 5 | 05G08
A  0019817931,ROLAMENTO DE ARTICULACAO,2,20A17
A  0019819905,ROLAMENTO CONICO 145 MM,1,02F13
A  0019892603,OLEO P/ CAMBIO AKS,7,LUBRI
A  0019892703,OLEO SINTETICO PARA DIFENCIAL  MB 235.8.,19,LUBRI
A  0019892803,OLEO P/ CAMBIO 75W90-MB 235.11,20,LUBRI
A  0019894303,MOBIL DELVAC 1340 - OLEO DE CAMBIO,15,LUBRI
A  0019895803,OLEO DIFERENCIAL,90,LUBRI
A  0019897201,OLEO DE MOTOR 15W-40 MB 228.31,180,ESTRADO 1
A  0019897201,OLEO DE MOTOR 15W-40 MB 228.31,1,LUBRI
A  00198972010001,M-DELVAC MX ESP EVOLUTION 15W40 20L,9,LUBRI
A  0019901167,ANEL VEDADOR (METAL),3,19E12
A  00199014030064,"PARAFUSO, HEX.EXT.",4,15B13
A  0019904605,PRISIONEIRO,5,01G03
A  0019906552,"PORCA FORMA ESPECIAL M16X1,5",1,03C17
A  0019907517,BUJAO ROSCADO,2,03F13
A  0019907878,CONEXAO DA TUBULACAO DE FREIO,5,03D12
A  0019907978,CONEXAO DA TUBULACAO DE FREIO,5,01D11
A  0019908171,CONEXAO DE LATAO,9,02D08
A  0019915870,GRAMPO DE MOLA,1,20G22
A  0019928401,BUCHA TOMADA FORCA LATERAL CX DE CAMBIO,20,21A05
A  0019937296,CORREIA DO MOTOR,14,18B14
A  0019959202,BRACADEIRA DE TUBO,9,03I06
A  0019976671,LU CONEXAO ROSCADA,1,16B11
A  0020105051,CJ PORTA-INJETOR COMPL,6,09B05
A  0020940806,TAMPA DO FILTRO DE AR,2,27B06
A  0021300715,CJ. CABECOTE COMPRESSOR AR COMPLETO,4,21D16
A  0021300815,JG.REPAR.JUNTAS E VALVULAS COMPRESSOR AR,3,04A16
A  0021302715,JG. REPARO PISTAO E BIELA,6,04C16
A  0021303615,JG. DE PECAS DO CABECOTE (JUNTAS),13,14B02
A  0021304015,JG DE REP. JUNTAS + VALV. CABECOTE,1,19B13
A  0021841125,ELEMENTO DE FILTRO DE OLEO,2,16A27
A  0021888001,REFRIGERADOR DE OLEO,2,08A01
A  0022609563,CILINDRO DE COMANDO,3,05G02
A  0022950206,CILINDRO MESTRE,2,05D01
A  0022950706,CILINDRO IMPULSO EMBRAGEM GB,4,17A03
A  0024319215,CONJUNTO SECADOR DE AR (APU),2,ESTRADO 2
A  0024463102,MODULO ELETRONICO FR / CPC,1,16H18
A  0024607805,BARRA DE DIRECAO -  ACO,1,30
A  0024778001,FILTRO DO ARLA,12,06F11
A  0025423118,SENSOR DE ROTACAO,2,16A01
A  0025424019,RELE,1,09G02
A  0025447390,LENTE DA LANTERNA TRA D/E,1,08A04
A  00254473900097,LENTE LANTERNA TRASEIRA DIREITA / ESQUERDA,2,11D17
A  0025450509,SENSOR DO BLOQUEIO,3,19B01
A  0025451034,FUSIVEL 15A,3,11E03
A  00254535090064,INTERRUPTOR,1,04E06
A  0028102014,CJ.BRACO LE MANUAL ESPEL.C/PINO 3? PONTO,1,ESTRADO 4
A  0028103314,SUPORTE DO ESPELHO RETROVISOR - DIR,1,27B08
A  0028114633,CRISTAL DO ESPELHO PRINCIPAL AQUECIDO,1,22E06
A  0028114733,CRISTAL DO ESPELHO AUXILIAR AQUECIDO,1,20G26
A  00281189330098,LENTE DO ESPELHO RETROVISOR,1,11D18
A  00281190330098,LENTE DO ESPELHO RETROVISOR,1,11E16
A  00281191330098,LENTE DO ESPELHO RETROVISOR,1,11A16
A  0028119233,CRISTAL DO ESPELHO RETROVISOR AUXILIAR D,1,16D12
A  0028205056,LANTERNA ESQUERDA DO TETO(FSK),1,21B05
A  0028205156,LANTERNA DIREITA DO TETO (FSK),2,21G08
A  0028206161,CONJ. FAROL FACHO BAIXO ESQUERDO,1,27C04
A  0028357964,BOMBA ELETRICA  24 V,19,18A13
A  0029808164,MOLA A GAS DA PORTINHOLA FRONTAL,1,05I01
A  0029818181,ANEL INTERNO - ACO,3,06E03
A  0029880481,PORCA  - MEDIO CARBONO,4,02F11
A  0029886678,PRESILHA,14,04C13
A  0029891103,OLEO P/ CAMBIO 75W85 - 235.16,30,LUBRI
A  0029893403,OLEO P/ CAMBIO A80W-DBL6634,20,LUBRI
A  0029903914,PARAFUSO PRISIONEIRO,8,15C31
A  0029905271,COTOVELO-CONEXAO DO MANOMETRO,4,20B25
A  0029906171,JG. PECAS DA CONEXAO  MT. ACO,1,04A10
A  0029907950,PORCA DE ACO,1,15B31
A  0029920001,CASQUILHO,3,23F21
A  0029921501,BUCHA DA ALAVANCA - PLASTICO,5,19F09
A  0029932896,CORREIA POLY-V,1,16A06
A  0029933296,CORREIA POLY-V,2,19A17
A  0029970271,CONEXAO METALICA,1,16A26
A  0029973130,"BUJAO ROSCADO M 16 X 1,5 MM",4,01H11
A  0029975346,RETENTOR DE BORRACHA,4,19B09
A  0029976547,ANEL DE VEDACAO RADIAL BORRACHA,10,03E05
A  0029976890,CINTA DE FIXACAO DOS CABOS.,110,09E04
A  0029986901,LUVA DE VEDACAO,6,19G03
A  0030100651,CJ PORTA-BICOS COMPLETO,8,03G04
A  0030940882,MANGUEIRA DO RADIADOR DE AR,1,27A09
A  0030947004,ELEMENTO DO FILTRO - PAPEL,2,ESTRADO 6
A  0031532828,SENSOR DE POSICAO,4,16C04
A  0031843301,ELEMENTO DE FILTRO DE OLEO DESCARTAVEL,4,17E03
A  00318433010097,FILTRO DE OLEO,2,11C05
A  0032033275,ELEMENTO REGULADOR,9,22A03
A  0032055406,VENTILADOR,1,ESTRADO 4
A  0032509715,LU MECANISMO DE DEBREAR,2,17G09
A  0032600963,CILINDRO DE SELECAO EPS,1,22E17
A  0032605863,CILINDRO DE MUDANCA,5,27A01
A  0032605963,CILINDRO COMANDO DE SELECAO,10,ESTRADO 5
A  0032607463,CILINDRO DE MUDANCA,12,ESTRADO 4
A  00342072200097,JOGO DE PASTILHAS DE FREIO,2,11D07
A  00343127060064,VALVULA LIMITADORA DE PRESSAO,2,07C06
A  0034323101,RESERVATORIO DE AR 20L,1,14E06
A  0034461509,LU MODULO ELETRONICO,1,22C12
A  0034605180,BOMBA DA DIRECAO HIDRAULICA,3,03H08
A  0035443203,LANTERNA TRASEIRA ESQ LED,1,17B07
A  00354434030097,LANTERNA LED TRASEIRA NOVO ACTROS - DIREITA,1,18F08
A  0035446503,LANTERNA TRAS DIR / COM LED SEM CIGARRA,2,22F11
A  0035446603,LANTERNA TRAS DIR / COM LED SEM CIGARRA,2,22B13
A  00354468030097,LANTERNA TRASEIRA ESQUERDA,1,11E14
A  00354470030097,LANTERNA TRASEIRA DIREITA,1,11D13
A  0035456807,INTERRUPTOR DO TETO CORREDICO,1,16C31
A  0038307384,VALVULA DE EXPANSAO,8,20A21
A  0038600269,CJ. FECHO DO CINTO SEGURANCA,1,20C23
A  0039804202,CJ ROLAMENTO DE ROLOS CONICOS,1,05F07
A  00398106050064,ROLAMENTO DE ROLETES,1,20C11
A  0039811905,ROLAMENTO CONICO  145 MM,1,19B08
A  0039812905,ROLAMENTO CONICO 150 MM,1,16B30
A  0039813005,ROLAMENTO CONICO 125 MM,2,16G22
A  0039814305,ROLAMENTO ROLOS CONICOS,1,21B09
A  00398981851000,ESPUMA DE VEDACAO AUTO-ADESIVA,6,09F03
A  0039934596,CORREIA POLY-V,2,07H06
A  0039939996,CORREIA TRAPEZOIDAL ALETADA,3,18D04
A  0039956202,CONJUNTO BRACADEIRA DO TUBO,8,04C02
A  0039970547,RETENTOR DE VEDACAO RADIAL - BORRACHA,2,03B14
A  0039971447,RETENTOR DE VEDACAO NA ALAVANCA INTERMED,7,02H06
A  0039973971,CONEXAO (ACO),1,20C09
A  0039973989,CONEXAO (METALICA),1,04B07
A  0039975189,CONEXAO DE LIGACAO DO ENCANAMENTO DE AR,1,04F11
A  00399769480064,RETENTOR DE VEDACAO RADIAL,8,02A02
A  0039976989,CONEXAO DE LIGACAO DO ENCANAMENTO DE AR,1,07C07
A  0039977589,CONEX.VOSS 232 NG8 ANG.110 - MET.BORR.,1,16B23
A  0039978889,CONEXAO V - L49,2,20A27
A  0039979089,CONEXAO,15,16D25
A  0040910501,BOMBA DE COMBUSTIVEL - HALDEX,5,07A07
A  0040942404,ELEMENTO FILTRO DE AR,1,ESTRADO 6
A  0040943504,ELEMENTO FILTRANTE PRINCIPAL,42,ESTRADO 6
A  0040947904,ELEMENTO DE FILTRO DE AR,2,13D01
A  0040948204,ELEMENTO DE FILTRO DE AR,1,ESTRADO 6
A  0040948304,CONJ. ELEMENTO FILTRO C/ TAMPA,9,ESTRADO 6
A  0040948404,ELEMENTO DO FILTRO DE AR,4,ESTRADO 6
A  0042038375,VALVULA TERMOSTATICA,15,02B13
A  0042500015,LU MANCAL DE ACIONAMENTO DA EMBREAGEM,1,16E16
A  00442027200097,JOGO DE PASTILHAS DE FREIO,1,11A02
A  0044296344,VALVULA RELE,1,05B02
A  0045450426,CONECTOR 55 POLOS,1,16C03
A  0045458614,INTERRUPTOR DE SUBPRESSAO.,1,05F08
A  0048303408,LU VENTOINHA RADIAL,1,22F12
A  0048306884,VALVULA DE EXPANSAO,1,16E10
A  0049818625,ROLAMENTO DE ESFERAS  ACO,1,04D14
A  0049905171,CONEXAO ANGULAR - METAL,1,03E02
A  0049931796,CORREIA POLY-V,1,17F05
A  0049932396,CORREIA TRAPEZOIDAL ALETADA,1,17B05
A  0049935896,CORREIA POLY-V,1,18F03
A  0049935996,CORREIA POLY-V,10,18D06
A  0049936096,CORREIA POLY-V,3,18D12
A  00499706400064,ANEL DE VEDACAO DE BORRACHA,39,04H13
A  0049970889,CONEXAO M22/6MM VOSS 232,15,19C03
A  0049971371,BOCAL ROSCADO NA TUBULACAO DE VENTILACAO,1,03E03
A  0049971389,COTOVELO ENCANAMENTO AR COMPRIMIDO-COBRE,4,02H09
A  0049971489,CONEXAO ENCAIXE ENCAN.AR COMPRIMIDO - LA,7,20C01
A  0049976989,PECA DE LIGACAO PARA M16 - 6MM,1,03D10
A  0049977889,COTOVELO M16/4MM - VOSS 232,2,02C02
A  0049979689,CONEXAO T - M16/4MM/4MM - VOSS 232,6,03E01
A  00515323280064,SENSOR DE TEMPERATURA,1,03F05
A  0055425818,SENSOR DE PRESSAO SUSPENSAO PNEUMATICA,1,06B13
A  0055451713,PAINEL DE COMANDO,1,SL
A  0055453413,INTERRUPTOR COMANDO DE PORTA ACOMPANHANT,1,19I05
A  0055453513,INTERRUPTOR COMANDO DE PORTA ACOMPANHANT,1,16A16
A  0055453913,INTERRUPTOR COMANDO DE PORTA MOTORISTA,1,20B10
A  0058600485,CJ. CINTO DE SEGURANCA DE 3 PONTOS,2,05F06
A  0059903870,CONEXAO 50 DA TUBULACAO DE OLEO,1,04A09
A  0059906104,"PARAFUSO M12X1,5X25",15,15F26
A  0059972689,CONEXAO  - COTOVELO,1,02A10
A  0060171621,LU PORTA-INJETOR COM BICO INJETOR DLLA,3,16G13
